[2025-05-08 12:13:02]  7, pdu_to_send=18, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=19, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=20, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=21, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=22, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=23, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=24, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=25, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=26, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=27, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=28, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=29, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=30, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=31, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=32, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=33, status=RT , ackedNo=14
[2025-05-08 12:13:02]  7, pdu_to_send=34, status=RT , ackedNo=14
[2025-05-08 12:13:02]  4, pdu_to_send=35, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=36, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=37, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=38, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=39, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=40, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=41, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=42, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=43, status=RT , ackedNo=14
[2025-05-08 12:13:02]  3, pdu_to_send=44, status=RT , ackedNo=14
[2025-05-08 12:13:02]  1, pdu_to_send=45, status=NEW, ackedNo=15
[2025-05-08 12:13:02]  1, pdu_to_send=46, status=NEW, ackedNo=16
[2025-05-08 12:13:02]  1, pdu_to_send=47, status=NEW, ackedNo=17
[2025-05-08 12:13:02]  1, pdu_to_send=48, status=NEW, ackedNo=18
[2025-05-08 12:13:02]  1, pdu_to_send=49, status=NEW, ackedNo=19
[2025-05-08 12:13:02]  1, pdu_to_send=50, status=NEW, ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=21, status=TO , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=22, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=23, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=24, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=25, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=26, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=27, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=28, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=29, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=30, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=31, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=32, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=33, status=RT , ackedNo=20
[2025-05-08 12:13:02]  8, pdu_to_send=34, status=RT , ackedNo=20
[2025-05-08 12:13:02]  5, pdu_to_send=35, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=36, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=37, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=38, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=39, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=40, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=41, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=42, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=43, status=RT , ackedNo=20
[2025-05-08 12:13:02]  4, pdu_to_send=44, status=RT , ackedNo=20
[2025-05-08 12:13:02]  2, pdu_to_send=45, status=RT , ackedNo=20
[2025-05-08 12:13:02]  2, pdu_to_send=46, status=RT , ackedNo=20
[2025-05-08 12:13:02]  2, pdu_to_send=47, status=RT , ackedNo=20
[2025-05-08 12:13:02]  2, pdu_to_send=48, status=RT , ackedNo=20
[2025-05-08 12:13:02]  2, pdu_to_send=49, status=RT , ackedNo=20
[2025-05-08 12:13:02]  2, pdu_to_send=50, status=RT , ackedNo=20
[2025-05-08 12:13:02]  1, pdu_to_send=51, status=NEW, ackedNo=21
